Item,Price
"Nuevo Apple MacBook Air (de 13 pulgadas, Intel Core i5 de cuatro núcleos a 1,1 GHz de décima generación, 8 GB RAM, 512 GB) - Gris espacial",1499.0
"Apple MacBook Pro (de 13 pulgadas, Modelo Anterior, 8GB RAM, 128GB de almacenamiento, Intel Core i5 a 2,3GHz) - Gris Espacial",1329.0
"Apple MacBook Pro (de 13 pulgadas, Modelo Anterior, 8GB RAM, 128GB de almacenamiento, Intel Core i5 a 2,3GHz) - Gris Espacial",1329.0
"Huawei Matebook 13 - Ordenador portátil Ultrafino táctil 13"" 2K (Intel Core i5-8250U, 8GB RAM, 512GB SSD, Nvidia GeForce MX250, Windows 10 Home) Mystic Silver - Teclado QWERTY Español, Plateado",874.0
"MOSISO Funda Dura Compatible con 2019 2018 MacBook Air 13 A1932 Retina, Plástico Carcasa Rígida & Funda Protectora & Protector de Pantalla & Piel de Teclado & Cubierta de Webcam, Cuarzo Rosa",269.0
