Item,Price
"Apple Macbook Pro - Ordenador portátil de 15.4"" (Touch Bar/ID, 16 GB RAM, 512 GB SSD, Teclado QWERTY español), Color Gris",1667.9
"Apple - MacBook 12"" (All-in-One Desktop PC, 1.2 GHz, 512 SSD, 8 GB RAM, Intel), Gris",1657.92
"Apple - MacBook Pro 13"" (All-in-One Desktop PC, 2.0 GHz, 256 SSD, 8 GB RAM, Intel), Gris",1499.99
"Apple - MacBook Pro 13"" (All-in-One Desktop PC, 2.0 GHz, 256 SSD, 8 GB RAM, Intel), Plata",1499.0
"Apple MacBook Pro 13"" - Space Grau 2019 MUHP2D/A i5 1,4GHz, 8GB RAM, 256GB SSD, macOS - Touch Bar",1449.0
"Apple MacBook Pro 13"" - Silber 2019 MUHR2D/A - 2019 i5 1,4GHz, 8GB RAM, 256GB SSD, macOS - Touch Bar",1449.0
"Huawei Matebook X Pro - Ordenador portátil Ultrafino táctil 13.9"" 3K (Intel Core i7-8565U, 8GB RAM, 512GB SSD, Nvidia GeForce MX250, Windows 10 Home) Space Grey - Teclado QWERTY Español",1359.76
"Nuevo Apple MacBook Air (de 13 pulgadas, Intel Core i5 de cuatro núcleos a 1,1 GHz de décima generación, 8 GB RAM, 512 GB) - Plata",1349.0
"Apple - MacBook 12"" (All-in-One Desktop PC, 1.1 GHz, 256 SSD, 8 GB RAM, Intel), Plateado",1233.78
"Apple - MacBook 12"" (All-in-One Desktop PC, 1.1 GHz, 256 SSD, 8 GB RAM, Intel), Plateado",1857.92
Apple MACBOOK Air 13.3'' (2019) ZÅ‚OTY (MVFM2ZE/A),1215.0
"Apple - MacBook Air 13"" (All-in-One Desktop PC, 1.6 GHz, 256 SSD, 8 GB RAM, Intel), Plata",1170.0
"LG gram 14Z990-V - Ordenador portátil ultrafino - 35.5 cm (14"") - FHD IPS (1 kg, autonomía 23.5 h, Intel i5 8ª generación, 8 GB RAM, 512 GB SSD, Windows 10 Home) Color Plata - Teclado QWERTY Español",1099.97
"Apple MacBook Pro 13"" - Space Grau 2019 MV962D/A i5 2,4GHz, 8GB RAM, 256GB SSD, macOS - Touch Bar",1050.0
"MSI PS42 8M-072ES - Ordenador portátil de 14"" Full HD (Intel Core i7-8550U, 8GB RAM, 512 GB SDD, tarjeta gráfica integrada, Windows 10 Home Plus sin ODD) plata - Teclado QWERTY Español",999.99
"Apple MacBook (de 12 pulgadas: Intel Core i5 de doble núcleo a 1,3 GHz, 512GB) - Oro (Modelo Anterior)",969.99
"Apple MacBook Air (de 13 pulgadas, Modelo Anterior, 8GB RAM, 256GB de almacenamiento, Intel Core i5 a 1,8GHz) - Plata",905.12
"Huawei Matebook 13 - Ordenador portátil ultrafino 13"" 2K (Intel Core i7-8565U, 8GB RAM, 512GB SSD, Intel Graphics, Windows 10) Gris - Teclado QWERTY Español",874.0
"Apple MacBook Air (de 13 pulgadas, Modelo Anterior, 8GB RAM, 128GB de almacenamiento, Intel Core i5 a 1,6GHz) - Plata",849.99
Apple MacBook Pro Retina 13in MF839LL / A / Intel Core i5 2.7 GHz / RAM 8 GB / 250 GB ssd / Tastiera qwerty US (Reacondicionado),799.0
"Lenovo Legion Y530 - Ordenador portátil Gaming de 15.6"" FullHD (Intel Core i7-8750H, 16GB de RAM, 1TB HDD + 256GB SSD, Nvidia GTX1050 de 4GB, Windows10) Negro. Teclado QWERTY español",750.0
"Acer Swift 5 - Ordenador portátil Ultrafino 15.6"" FullHD multitáctil (Intel Core i5-8265U, 8GB RAM, 256GB SSD, Intel UHD 620, Windows 10 Home) Azul - Teclado QWERTY Español",699.99
"Lenovo Ideapad 530S-14IKB - Ordenador Portátil 14"" FullHD (Intel Core i7-8550U, RAM de 8GB, 512GB de SSD, Intel UHD Graphics, Windows 10) Gris - Teclado QWERTY Español",22.99
"Nuevo Apple MacBook (de 12 pulgadas, Intel Core m3 de doble núcleo a 1,2 GHz, 256GB) - Gris espacial",19.97
"Lenovo ThinkBook 13s IWL - Ordenador portátil 13.3"" FHD (Intel Core i5-8265U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics 620, Windows 10 Pro) gris - Teclado QWERTY español",29.95
"Apple MacBook Air 13"" MRE82D/A SpaceGrau Intel Core i5 1.6GHz, 8GB RAM, 128GB SSD, macOS Mojave - 2018",13.99
"Apple MacBook Air (de 13 pulgadas, Modelo Anterior, 8GB RAM, 128GB de almacenamiento) - Gris Espacial",
"MSI Modern 14 A10RB-663XES - Ordenador portátil de 14"" FullHD (Intel Core i7-10510U, 16GB RAM, 512GB SSD, Nvidia MX250-2GB GDDR5, sin Sistema operativo) gris - teclado QWERTY Español",
"MSI PS42 Modern 8RA-280XES - Ordenador portátil de 14"" FHD (Intel i7-8565U, 16 GB RAM, 512GB SSD, Nvidia GeForce MX250-2GB, sin sistema operativo) plata - Teclado QWERTY Español",
"HP 14-bk001ns Pavilion - Ordenador portátil 14"" FHD (Intel Core i5-7200U, 8 GB RAM, 256 GB SSD, Intel HD Graphics 620,Windows 10 Home 64), Plata",
Apple MacBook Air 13″ Core i5 1.6Ghz – 8GB RAM – 256GB SSD – 2015 - Teclado Italiano - (Reacondicionado),
"Acer Swift 3 - Ordenador portátil de 14"" FullHD (Intel Core i5-1035G1, 8GB RAM, 256GB SSD, UMA, Windows 10 Home) - Teclado QWERTY Español",
"ASUS UX410UA-GV036T - Ordenador Portátil ultrafino de 14"" FullHD (Intel Core i7-7500U, 8 GB RAM, 256 GB SSD, Intel HD Graphics 620, Windows 10 Home) Teclado QWERTY Español",
"Huawei Matebook D15 - Ordenador Portátil de 15.6'' FullHD (AMD Ryzen 5 3500u, Multi-Screen Collaboration, 8GB RAM, 256GB SSD. Windows 10 Home), Mystic Silver, Teclado Qwerty Español",
KECC MacBook Air 13 Pulgadas Funda Dura Case w/EU Cubierta Teclado MacBook Air 13.3 Ultra Delgado Plástico {A1466/A1369}(Arcoíris de Niebla),
KECC MacBook Air 13 Pulgadas Funda Dura Case Cover MacBook Air 13.3 Ultra Delgado Plástico {A1466/A1369} (Flor Roja),
"AndMore Cargador Compatible con Macbook Air, 45W Adaptador MagSafe 2 para Macbook Air, MacBook Air 11"" 13"" Pulgadas A1466/A1465/A1436/A1435 - Mediados 2012, 2013, 2014, 2015, 2017 Modelos",
"ProCase Carcasa Gomosa para MacBook Air 13 A1932 A2179, Funda Dura Delgada con Revestimiento Engomado para 2018 2019 2020 MacBook Air 13"" con Retina –Negro",
